id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
811891f98a870dfd6e414374a0a85560,szczecin,blockOfFlats,47.0,2.0,6.0,12.0,1981.0,53.4285438,14.5528116,0.79,67.0,0.288,0.285,0.268,0.245,0.068,0.593,0.085,condominium,concreteSlab,,no,yes,yes,no,yes,449000
adaf636d0c44d8d9325bce42403eefee,szczecin,apartmentBuilding,88.22,3.0,1.0,2.0,2000.0,53.4490931,14.5168436,4.09,0.0,0.509,1.039,0.998,0.676,0.661,1.192,0.668,condominium,brick,premium,yes,yes,no,no,no,950000
9b957bd60885a469c96f17b58a914f4b,szczecin,apartmentBuilding,117.0,5.0,4.0,4.0,,53.4430957490062,14.5613475014441,2.19,10.0,0.216,0.611,0.743,0.28,0.298,1.522,0.229,udział,brick,premium,yes,yes,no,no,no,1099000
74fef2ff7135bc70797a3fbfd7d44ed6,szczecin,blockOfFlats,33.31,1.0,1.0,4.0,1963.0,53.4361,14.5412,1.93,39.0,0.073,0.326,0.284,0.089,0.18,0.041,0.388,cooperative,brick,,yes,no,no,yes,yes,380000
77cc78c75b0d09bf84d6d3124a28803c,szczecin,blockOfFlats,56.0,3.0,7.0,7.0,2018.0,53.4474649390434,14.5578114013843,2.68,10.0,0.268,0.771,0.676,0.26,0.322,1.643,0.178,condominium,brick,premium,yes,yes,yes,yes,yes,799000
7d0c31d5409caab173571cce3dcdf702,szczecin,blockOfFlats,68.61,3.0,4.0,4.0,1997.0,53.4562131879767,14.5832223504052,3.94,7.0,0.139,1.336,0.926,0.93,0.071,0.786,0.304,condominium,brick,,no,yes,no,no,yes,599000
183f6d7fef2c99c7e96c107ea168f887,szczecin,blockOfFlats,101.25,4.0,,2.0,1930.0,53.3977,14.6729,7.95,14.0,0.201,2.454,0.315,0.25,0.216,,0.316,condominium,brick,premium,yes,yes,no,no,yes,720000
8b639c1fc538c7cee988ae5b4e80bd4f,szczecin,blockOfFlats,29.6,1.0,7.0,11.0,1970.0,53.44545,14.55238,2.52,15.0,0.247,0.493,0.418,0.458,0.141,1.242,0.022,cooperative,concreteSlab,,no,no,yes,no,yes,319000
6ef7459f81c6e120471e8c88cc4dd312,szczecin,tenement,97.2,4.0,,3.0,1930.0,53.4354,14.5613,1.33,18.0,0.311,0.404,0.434,0.403,0.161,0.673,0.26,condominium,brick,,yes,no,no,no,yes,720000
abf85134e758b50c9c7027c818051d74,szczecin,blockOfFlats,26.8,1.0,4.0,5.0,1960.0,53.438362,14.5562786,1.69,25.0,0.218,0.358,0.121,0.102,0.162,1.018,0.02,cooperative,brick,premium,no,no,yes,no,no,322000
baa9149591a5ca09d5fc10821da33e8a,szczecin,blockOfFlats,75.0,4.0,4.0,4.0,1980.0,53.3654,14.6509,8.78,5.0,0.341,0.766,0.318,0.526,0.083,,0.336,cooperative,concreteSlab,premium,yes,yes,no,no,yes,650000
35bb878c427e6c2cecbe7b96ce96b219,szczecin,blockOfFlats,68.94,3.0,3.0,4.0,1950.0,53.4112998,14.5193061,3.07,5.0,0.28,0.767,0.479,0.468,0.57,1.251,0.236,condominium,brick,low,no,yes,no,no,yes,540000
2aaeb8634fbc02efeebea19e71ae299f,szczecin,apartmentBuilding,66.78,4.0,2.0,6.0,2018.0,53.4187193,14.5445331,1.21,9.0,0.233,0.479,0.55,0.592,0.366,0.866,0.335,condominium,brick,premium,yes,yes,yes,no,no,749000
6ebcf71cb0d8ca71825b742fb1445600,szczecin,tenement,89.34,3.0,,4.0,1930.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,condominium,brick,low,yes,yes,no,no,yes,600000
54b008613d848fd85b78f8f08c2ef4d1,szczecin,apartmentBuilding,33.76,1.0,1.0,10.0,2012.0,53.4110643,14.5272356,2.62,14.0,0.162,0.355,0.401,0.097,0.063,1.017,0.326,condominium,brick,premium,no,yes,yes,no,no,399000
3059d26babe44dc3a1511ce18bbc95ae,szczecin,blockOfFlats,48.15,2.0,2.0,3.0,1930.0,53.44088317,14.51178074,3.79,6.0,0.46,0.405,0.036,0.51,0.683,1.267,0.112,condominium,brick,premium,no,yes,no,no,yes,565000
8a76dc47307e47115111077966ee1a7b,szczecin,apartmentBuilding,79.0,3.0,2.0,6.0,2013.0,53.4231,14.5384,1.5,20.0,0.061,0.5,0.092,0.606,0.046,0.579,0.106,condominium,brick,premium,yes,no,yes,no,no,950000
209a6d2dea99216bdf83a968343cd3b3,szczecin,tenement,61.48,2.0,,3.0,1900.0,53.4915083,14.60698488,8.16,1.0,0.149,1.68,0.534,1.294,1.527,3.72,1.521,condominium,brick,premium,no,no,no,no,yes,359000
606211572241bb4d82b0cba39b9c8ccd,szczecin,blockOfFlats,47.88,2.0,,4.0,1985.0,53.4045357,14.5242062,3.21,15.0,0.256,0.547,0.442,0.098,0.129,1.77,0.086,condominium,concreteSlab,,no,no,no,no,yes,415000
5485b7e4cc62aa4989cf940db172d31b,szczecin,blockOfFlats,50.0,2.0,3.0,3.0,2010.0,53.4858,14.5775,7.02,4.0,2.153,0.478,0.283,0.422,0.261,2.571,0.538,condominium,brick,,yes,no,no,no,no,429000
e4617bc60031e66437864b25ccdfa2ab,szczecin,blockOfFlats,60.38,3.0,3.0,4.0,2003.0,53.4408512,14.528051,2.92,13.0,0.201,0.41,0.936,0.485,0.174,0.242,0.183,condominium,brick,premium,no,yes,yes,no,no,699000
da6f744bd128c52875e01059fbabbad3,szczecin,apartmentBuilding,71.47,4.0,2.0,3.0,,53.4498,14.4986,5.07,13.0,0.187,0.975,0.092,0.57,0.117,2.287,0.083,condominium,brick,,yes,yes,yes,yes,yes,929000
923171799fddc6cf21dd6bfe4f012d68,szczecin,blockOfFlats,37.73,2.0,,2.0,2013.0,53.411613,14.4926316,4.71,4.0,0.562,1.382,0.239,0.585,0.366,2.74,0.793,condominium,brick,premium,no,no,no,no,no,499000
