id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
c63a4bfb4e073634d5d2841eff4448d4,szczecin,,65.0,2.0,3.0,4.0,,53.4285438,14.5528116,0.79,67.0,0.288,0.285,0.268,0.245,0.068,0.593,0.085,condominium,,,no,no,no,no,no,2200
98ee431da834e6c7944b315f39ee7846,szczecin,blockOfFlats,43.04,2.0,4.0,4.0,1965.0,53.434,14.5518,1.33,56.0,0.096,0.053,0.221,0.159,0.169,0.751,0.116,condominium,,,yes,yes,no,no,no,2100
2a1a6db97ff122d6bc148abb6f0e498a,szczecin,blockOfFlats,52.0,2.0,3.0,3.0,2008.0,53.4605350947556,14.5454160213269,4.26,2.0,0.753,1.049,0.595,0.674,0.229,2.2,0.307,condominium,brick,,yes,yes,no,no,no,3500
693e851f34d2f621e8b458517ce4a6df,szczecin,blockOfFlats,40.0,2.0,1.0,5.0,,53.4177607579089,14.5424672802287,1.38,8.0,0.11,0.653,0.569,0.458,0.356,0.756,0.22,condominium,,premium,yes,yes,yes,yes,no,2350
a6947320455a7f8afd2d53497a5b47e9,szczecin,blockOfFlats,70.0,3.0,1.0,2.0,2000.0,53.4421883,14.486052,5.38,6.0,0.855,1.33,0.27,0.385,0.082,2.961,0.273,condominium,brick,,yes,no,no,no,no,3200
72a455fbf9e59315e94c2f3cb22109b6,szczecin,,75.0,3.0,4.0,5.0,,53.4224058,14.5324742,1.89,17.0,0.342,0.103,0.394,0.921,0.297,0.292,0.258,condominium,,,no,yes,no,no,no,2200
50d75c688530b9a61ba505301e0b94a9,szczecin,apartmentBuilding,32.6,2.0,5.0,6.0,2021.0,53.4215822,14.5415725,1.3,16.0,0.081,0.565,0.223,0.482,0.151,0.689,0.192,condominium,brick,premium,no,yes,yes,no,no,2500
ba4d70d65d1024ee13929ca82bfc92f6,szczecin,blockOfFlats,52.0,2.0,1.0,3.0,2006.0,53.4274,14.4881,4.85,6.0,0.607,0.485,0.247,0.399,0.6,3.003,0.458,condominium,concreteSlab,,yes,no,no,no,no,2150
03a41e8ec8ebdc1dd5a86d65ae3de54e,szczecin,blockOfFlats,54.0,2.0,,3.0,2002.0,53.4126,14.5411,1.78,3.0,0.635,0.901,0.673,0.126,0.132,1.021,0.383,condominium,brick,premium,yes,yes,yes,no,yes,2600
aae4994ab375e107dcc375f3360bd3d9,szczecin,tenement,32.0,1.0,2.0,4.0,1930.0,53.4348359,14.5488644,1.5,51.0,0.101,0.107,0.154,0.159,0.048,0.537,0.271,condominium,brick,premium,no,no,,no,no,1500
